010601 V- 2PAD-P-- Προσέχετε Προσέχετε προσέχετε προσέχω
010604 RA ----DSN- τῷ τῷ τῷ ὁ
010604 A- ----DSN- κρυπτῷ· κρυπτῷ κρυπτῷ κρυπτός
010604 C- -------- καὶ καὶ καί καί
010604 RA ----NSM- ὁ ὁ ὁ ὁ
010604 N- ----NSM- πατήρ πατήρ πατήρ πατήρ
010604 RP ----GS-- σου σου σου σύ
010604 RA ----NSM- ὁ ὁ ὁ ὁ
010604 V- -PAPNSM- βλέπων βλέπων βλέπων βλέπω
010604 P- -------- ἐν ἐν ἐν ἐν
010604 RA ----DSN- τῷ τῷ τῷ ὁ
010604 A- ----DSN- κρυπτῷ κρυπτῷ κρυπτῷ κρυπτός
010604 V- 3FAI-S-- ἀποδώσει ἀποδώσει ἀποδώσει ἀποδίδωμι
010604 RP ----DS-- σοι. σοι σοι σύ
010605 C- -------- Καὶ Καὶ καί καί
010605 C- -------- ὅταν ὅταν ὅταν ὅταν
010605 V- 2PMS-P-- προσεύχησθε, προσεύχησθε προσεύχησθε προσεύχομαι
010605 D- -------- οὐκ οὐκ οὐ οὐ
010605 V- 2FMI-P-- ἔσεσθε ἔσεσθε ἔσεσθε εἰμί
010605 C- -------- ὡς ὡς ὡς ὡς
010605 RA ----NPM- οἱ οἱ οἱ ὁ
010605 N- ----NPM- ὑποκριταί· ὑποκριταί ὑποκριταί ὑποκριτής
010605 C- -------- ὅτι ὅτι ὅτι ὅτι
010605 V- 3PAI-P-- φιλοῦσιν φιλοῦσιν φιλοῦσι(ν) φιλέω
010605 P- -------- ἐν ἐν ἐν ἐν
010605 RA ----DPF- ταῖς ταῖς ταῖς ὁ
010605 N- ----DPF- συναγωγαῖς συναγωγαῖς συναγωγαῖς συναγωγή
010605 C- -------- καὶ καὶ καί καί
010605 P- -------- ἐν ἐν ἐν ἐν
010605 RA ----DPF- ταῖς ταῖς ταῖς ὁ
010605 N- ----DPF- γωνίαις γωνίαις γωνίαις γωνία
010605 RA ----GPF- τῶν τῶν τῶν ὁ
010605 A- ----GPF- πλατειῶν πλατειῶν πλατειῶν πλατύς
010605 V- -XAPNPM- ἑστῶτες ἑστῶτες ἑστῶτες ἵστημι
010605 V- -PMN---- προσεύχεσθαι, προσεύχεσθαι προσεύχεσθαι προσεύχομαι
010605 C- -------- ὅπως ὅπως ὅπως ὅπως
010605 V- 3APS-P-- φανῶσιν φανῶσιν φανῶσι(ν) φαίνω
010605 RA ----DPM- τοῖς τοῖς τοῖς ὁ
010605 N- ----DPM- ἀνθρώποις· ἀνθρώποις ἀνθρώποις ἄνθρωπος
010605 X- -------- ἀμὴν ἀμὴν ἀμήν ἀμήν
010605 V- 1PAI-S-- λέγω λέγω λέγω λέγω
010605 RP ----DP-- ὑμῖν, ὑμῖν ὑμῖν σύ
010605 V- 3PAI-P-- ἀπέχουσι ἀπέχουσι ἀπέχουσι(ν) ἀπέχω
010605 RA ----ASM- τὸν τὸν τόν ὁ
010605 N- ----ASM- μισθὸν μισθὸν μισθόν μισθός
010605 RP ----GPM- αὐτῶν. αὐτῶν αὐτῶν αὐτός
010606 RP ----NS-- σὺ σὺ σύ σύ
010606 C- -------- δὲ δὲ δέ δέ
010606 C- -------- ὅταν ὅταν ὅταν ὅταν
010606 V- 2PMS-S-- προσεύχῃ, προσεύχῃ προσεύχῃ προσεύχομαι
010606 V- 2AAD-S-- εἴσελθε εἴσελθε εἴσελθε εἰσέρχομαι
010606 P- -------- εἰς εἰς εἰς εἰς
010606 RA ----ASN- τὸ τὸ τό ὁ
010606 N- ----ASN- ταμεῖόν ταμεῖόν ταμεῖον ταμεῖον
010606 RP ----GS-- σου σου σου σύ
010606 C- -------- καὶ καὶ καί καί
010606 V- -AAPNSM- κλείσας κλείσας κλείσας κλείω
010606 RA ----ASF- τὴν τὴν τήν ὁ
010606 N- ----ASF- θύραν θύραν θύραν θύρα
010606 RP ----GS-- σου σου σου σύ
010606 V- 2AMD-S-- πρόσευξαι πρόσευξαι πρόσευξαι προσεύχομαι
010606 RA ----DSM- τῷ τῷ τῷ ὁ
010606 N- ----DSM- πατρί πατρί πατρί πατήρ
010606 RP ----GS-- σου σου σου σύ
010606 RA ----DSM- τῷ τῷ τῷ ὁ
010606 P- -------- ἐν ἐν ἐν ἐν
010606 RA ----DSN- τῷ τῷ τῷ ὁ
010606 A- ----DSN- κρυπτῷ· κρυπτῷ κρυπτῷ κρυπτός
010606 C- -------- καὶ καὶ καί καί
010606 RA ----NSM- ὁ ὁ ὁ ὁ
010606 N- ----NSM- πατήρ πατήρ πατήρ πατήρ
010606 RP ----GS-- σου σου σου σύ
010606 RA ----NSM- ὁ ὁ ὁ ὁ
010606 V- -PAPNSM- βλέπων βλέπων βλέπων βλέπω
010606 P- -------- ἐν ἐν ἐν ἐν
010606 RA ----DSN- τῷ τῷ τῷ ὁ
010606 A- ----DSN- κρυπτῷ κρυπτῷ κρυπτῷ κρυπτός
010606 V- 3FAI-S-- ἀποδώσει ἀποδώσει ἀποδώσει ἀποδίδωμι
010606 RP ----DS-- σοι. σοι σοι σύ
010607 V- -PMPNPM- Προσευχόμενοι Προσευχόμενοι προσευχόμενοι προσεύχομαι
010607 C- -------- δὲ δὲ δέ δέ
010607 D- -------- μὴ μὴ μή μή
010607 V- 2AAS-P-- βατταλογήσητε βατταλογήσητε βατταλογήσητε βατταλογέω
010607 C- -------- ὥσπερ ὥσπερ ὥσπερ ὥσπερ
010607 RA ----NPM- οἱ οἱ οἱ ὁ
010607 A- ----NPM- ἐθνικοί, ἐθνικοί ἐθνικοί ἐθνικός
010607 V- 3PAI-P-- δοκοῦσιν δοκοῦσιν δοκοῦσι(ν) δοκέω
010607 C- -------- γὰρ γὰρ γάρ γάρ
010607 C- -------- ὅτι ὅτι ὅτι ὅτι
010607 P- -------- ἐν ἐν ἐν ἐν
010607 RA ----DSF- τῇ τῇ τῇ ὁ
010607 N- ----DSF- πολυλογίᾳ πολυλογίᾳ πολυλογίᾳ πολυλογία
010607 RP ----GPM- αὐτῶν αὐτῶν αὐτῶν αὐτός
010607 V- 3FPI-P-- εἰσακουσθήσονται· εἰσακουσθήσονται εἰσακουσθήσονται εἰσακούω
010608 D- -------- μὴ μὴ μή μή
010608 C- -------- οὖν οὖν οὖν οὖν
010608 V- 2APS-P-- ὁμοιωθῆτε ὁμοιωθῆτε ὁμοιωθῆτε ὁμοιόω
010608 RP ----DPM- αὐτοῖς, αὐτοῖς αὐτοῖς αὐτός
010608 V- 3XAI-S-- οἶδεν οἶδεν οἶδε(ν) οἶδα
010608 C- -------- γὰρ γὰρ γάρ γάρ
010608 RA ----NSM- ὁ ὁ ὁ ὁ
010608 N- ----NSM- πατὴρ πατὴρ πατήρ πατήρ
010608 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
010608 RR ----GPN- ὧν ὧν ὧν ὅς
010608 N- ----ASF- χρείαν χρείαν χρείαν χρεία
010608 V- 2PAI-P-- ἔχετε ἔχετε ἔχετε ἔχω
010608 P- -------- πρὸ πρὸ πρό πρό
010608 RA ----GSN- τοῦ τοῦ τοῦ ὁ
010608 RP ----AP-- ὑμᾶς ὑμᾶς ὑμᾶς σύ
010608 V- -AAN---- αἰτῆσαι αἰτῆσαι αἰτῆσαι αἰτέω
010608 RP ----ASM- αὐτόν. αὐτόν αὐτόν αὐτός
010609 D- -------- Οὕτως Οὕτως οὕτω(ς) οὕτω(ς)
010609 C- -------- οὖν οὖν οὖν οὖν
010609 V- 2PMD-P-- προσεύχεσθε προσεύχεσθε προσεύχεσθε προσεύχομαι
010609 RP ----NP-- ὑμεῖς· ὑμεῖς ὑμεῖς σύ
010609 N- ----VSM- Πάτερ Πάτερ πάτερ πατήρ
010609 RP ----GP-- ἡμῶν ἡμῶν ἡμῶν ἐγώ
010609 RA ----VSM- ὁ ὁ ὁ ὁ
010609 P- -------- ἐν ἐν ἐν ἐν
010609 RA ----DPM- τοῖς τοῖς τοῖς ὁ
010609 N- ----DPM- οὐρανοῖς· οὐρανοῖς οὐρανοῖς οὐρανός
010609 V- 3APD-S-- ἁγιασθήτω ἁγιασθήτω ἁγιασθήτω ἁγιάζω
010609 RA ----NSN- τὸ τὸ τό ὁ
010609 N- ----NSN- ὄνομά ὄνομά ὄνομα ὄνομα
010609 RP ----GS-- σου, σου σου σύ
010610 V- 3AAD-S-- ἐλθέτω ἐλθέτω ἐλθέτω ἔρχομαι
010610 RA ----NSF- ἡ ἡ ἡ ὁ
010610 N- ----NSF- βασιλεία βασιλεία βασιλεία βασιλεία
010610 RP ----GS-- σου, σου σου σύ
010610 V- 3APD-S-- γενηθήτω γενηθήτω γενηθήτω γίνομαι
010610 RA ----NSN- τὸ τὸ τό ὁ
010610 N- ----NSN- θέλημά θέλημά θέλημα θέλημα
010610 RP ----GS-- σου, σου σου σύ
010610 C- -------- ὡς ὡς ὡς ὡς
010610 P- -------- ἐν ἐν ἐν ἐν
010610 N- ----DSM- οὐρανῷ οὐρανῷ οὐρανῷ οὐρανός
010610 D- -------- καὶ καὶ καί καί
010610 P- -------- ἐπὶ ἐπὶ ἐπί ἐπί
010610 N- ----GSF- γῆς· γῆς γῆς γῆ
010611 RA ----ASM- τὸν τὸν τόν ὁ
010611 N- ----ASM- ἄρτον ἄρτον ἄρτον ἄρτος
010611 RP ----GP-- ἡμῶν ἡμῶν ἡμῶν ἐγώ
010611 RA ----ASM- τὸν τὸν τόν ὁ
010611 A- ----ASM- ἐπιούσιον ἐπιούσιον ἐπιούσιον ἐπιούσιος
010611 V- 2AAD-S-- δὸς δὸς δός δίδωμι
010611 RP ----DP-- ἡμῖν ἡμῖν ἡμῖν ἐγώ
010611 D- -------- σήμερον· σήμερον σήμερον σήμερον
010612 C- -------- καὶ καὶ καί καί
010612 V- 2AAD-S-- ἄφες ἄφες ἄφες ἀφίημι
010612 RP ----DP-- ἡμῖν ἡμῖν ἡμῖν ἐγώ
010612 RA ----APN- τὰ τὰ τά ὁ
010612 N- ----APN- ὀφειλήματα ὀφειλήματα ὀφειλήματα ὀφείλημα
010612 RP ----GP-- ἡμῶν, ἡμῶν ἡμῶν ἐγώ
010612 C- -------- ὡς ὡς ὡς ὡς
010612 D- -------- καὶ καὶ καί καί
010612 RP ----NP-- ἡμεῖς ἡμεῖς ἡμεῖς ἐγώ
010612 V- 1AAI-P-- ἀφήκαμεν ἀφήκαμεν ἀφήκαμεν ἀφίημι
010612 RA ----DPM- τοῖς τοῖς τοῖς ὁ
010612 N- ----DPM- ὀφειλέταις ὀφειλέταις ὀφειλέταις ὀφειλέτης
010612 RP ----GP-- ἡμῶν· ἡμῶν ἡμῶν ἐγώ
010613 C- -------- καὶ καὶ καί καί
010613 D- -------- μὴ μὴ μή μή
010613 V- 2AAS-S-- εἰσενέγκῃς εἰσενέγκῃς εἰσενέγκῃς εἰσφέρω
010613 RP ----AP-- ἡμᾶς ἡμᾶς ἡμᾶς ἐγώ
010613 P- -------- εἰς εἰς εἰς εἰς
010613 N- ----ASM- πειρασμόν, πειρασμόν πειρασμόν πειρασμός
010613 C- -------- ἀλλὰ ἀλλὰ ἀλλά ἀλλά
010613 V- 2AMD-S-- ῥῦσαι ῥῦσαι ῥῦσαι ῥύομαι
010613 RP ----AP-- ἡμᾶς ἡμᾶς ἡμᾶς ἐγώ
010613 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
010613 RA ----GSN- τοῦ τοῦ τοῦ ὁ
010613 A- ----GSN- πονηροῦ. πονηροῦ πονηροῦ πονηρός
010614 C- -------- ἐὰν ἐὰν ἐάν ἐάν
010614 C- -------- γὰρ γὰρ γάρ γάρ
010614 V- 2AAS-P-- ἀφῆτε ἀφῆτε ἀφῆτε ἀφίημι
010614 RA ----DPM- τοῖς τοῖς τοῖς ὁ
010614 N- ----DPM- ἀνθρώποις ἀνθρώποις ἀνθρώποις ἄνθρωπος
010614 RA ----APN- τὰ τὰ τά ὁ
010614 N- ----APN- παραπτώματα παραπτώματα παραπτώματα παράπτωμα
010614 RP ----GPM- αὐτῶν, αὐτῶν αὐτῶν αὐτός
010614 V- 3FAI-S-- ἀφήσει ἀφήσει ἀφήσει ἀφίημι
010614 D- -------- καὶ καὶ καί καί
010614 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ
010614 RA ----NSM- ὁ ὁ ὁ ὁ
010614 N- ----NSM- πατὴρ πατὴρ πατήρ πατήρ
010614 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
010614 RA ----NSM- ὁ ὁ ὁ ὁ
010614 A- ----NSM- οὐράνιος· οὐράνιος οὐράνιος οὐράνιος
010615 C- -------- ἐὰν ἐὰν ἐάν ἐάν
010615 C- -------- δὲ δὲ δέ δέ
010615 D- -------- μὴ μὴ μή μή
010615 V- 2AAS-P-- ἀφῆτε ἀφῆτε ἀφῆτε ἀφίημι
010615 RA ----DPM- τοῖς τοῖς τοῖς ὁ
010615 N- ----DPM- ἀνθρώποις, ἀνθρώποις ἀνθρώποις ἄνθρωπος
010615 D- -------- οὐδὲ οὐδὲ οὐδέ οὐδέ
010615 RA ----NSM- ὁ ὁ ὁ ὁ
010615 N- ----NSM- πατὴρ πατὴρ πατήρ πατήρ
010615 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
010615 V- 3FAI-S-- ἀφήσει ἀφήσει ἀφήσει ἀφίημι
010615 RA ----APN- τὰ τὰ τά ὁ
010615 N- ----APN- παραπτώματα παραπτώματα παραπτώματα παράπτωμα
010615 RP ----GP-- ὑμῶν. ὑμῶν ὑμῶν σύ
010616 C- -------- Ὅταν Ὅταν ὅταν ὅταν
010616 C- -------- δὲ δὲ δέ δέ
010616 V- 2PAS-P-- νηστεύητε, νηστεύητε νηστεύητε νηστεύω
010616 D- -------- μὴ μὴ μή μή
010616 V- 2PMD-P-- γίνεσθε γίνεσθε γίνεσθε γίνομαι
010616 C- -------- ὡς ὡς ὡς ὡς
010616 RA ----NPM- οἱ οἱ οἱ ὁ
010616 N- ----NPM- ὑποκριταὶ ὑποκριταὶ ὑποκριταί ὑποκριτής
010616 A- ----NPM- σκυθρωποί, σκυθρωποί σκυθρωποί σκυθρωπός
010616 V- 3PAI-P-- ἀφανίζουσιν ἀφανίζουσιν ἀφανίζουσι(ν) ἀφανίζω
010616 C- -------- γὰρ γὰρ γάρ γάρ
010616 RA ----APN- τὰ τὰ τά ὁ
010616 N- ----APN- πρόσωπα πρόσωπα πρόσωπα πρόσωπον
010616 RP ----GPM- αὐτῶν αὐτῶν αὐτῶν αὐτός
010616 C- -------- ὅπως ὅπως ὅπως ὅπως
010616 V- 3APS-P-- φανῶσιν φανῶσιν φανῶσι(ν) φαίνω
010616 RA ----DPM- τοῖς τοῖς τοῖς ὁ
010616 N- ----DPM- ἀνθρώποις ἀνθρώποις ἀνθρώποις ἄνθρωπος
010616 V- -PAPNPM- νηστεύοντες· νηστεύοντες νηστεύοντες νηστεύω
010616 X- -------- ἀμὴν ἀμὴν ἀμήν ἀμήν
010616 V- 1PAI-S-- λέγω λέγω λέγω λέγω
010616 RP ----DP-- ὑμῖν, ὑμῖν ὑμῖν σύ
010616 V- 3PAI-P-- ἀπέχουσιν ἀπέχουσιν ἀπέχουσι(ν) ἀπέχω
010616 RA ----ASM- τὸν τὸν τόν ὁ
010616 N- ----ASM- μισθὸν μισθὸν μισθόν μισθός
010616 RP ----GPM- αὐτῶν. αὐτῶν αὐτῶν αὐτός
010617 RP ----NS-- σὺ σὺ σύ σύ
010617 C- -------- δὲ δὲ δέ δέ
010617 V- -PAPNSM- νηστεύων νηστεύων νηστεύων νηστεύω
010617 V- 2AMD-S-- ἄλειψαί ἄλειψαί ἄλειψαι ἀλείφω
010617 RP ----GS-- σου σου σου σύ
010617 RA ----ASF- τὴν τὴν τήν ὁ
010617 N- ----ASF- κεφαλὴν κεφαλὴν κεφαλήν κεφαλή
010617 C- -------- καὶ καὶ καί καί
010617 RA ----ASN- τὸ τὸ τό ὁ
010617 N- ----ASN- πρόσωπόν πρόσωπόν πρόσωπον πρόσωπον
010617 RP ----GS-- σου σου σου σύ
010617 V- 2AMD-S-- νίψαι, νίψαι νίψαι νίπτω
010618 C- -------- ὅπως ὅπως ὅπως ὅπως
010618 D- -------- μὴ μὴ μή μή
010618 V- 2APS-S-- φανῇς φανῇς φανῇς φαίνω
010618 RA ----DPM- τοῖς τοῖς τοῖς ὁ
010618 N- ----DPM- ἀνθρώποις ἀνθρώποις ἀνθρώποις ἄνθρωπος
010618 V- -PAPNSM- νηστεύων νηστεύων νηστεύων νηστεύω
010618 C- -------- ἀλλὰ ἀλλὰ ἀλλά ἀλλά
010618 RA ----DSM- τῷ τῷ τῷ ὁ
010618 N- ----DSM- πατρί πατρί πατρί πατήρ
010618 RP ----GS-- σου σου σου σύ
010618 RA ----DSM- τῷ τῷ τῷ ὁ
010618 P- -------- ἐν ἐν ἐν ἐν
010618 RA ----DSN- τῷ τῷ τῷ ὁ
010618 A- ----DSN- κρυφαίῳ· κρυφαίῳ κρυφαίῳ κρυφαῖος
010618 C- -------- καὶ καὶ καί καί
010618 RA ----NSM- ὁ ὁ ὁ ὁ
010618 N- ----NSM- πατήρ πατήρ πατήρ πατήρ
010618 RP ----GS-- σου σου σου σύ
010618 RA ----NSM- ὁ ὁ ὁ ὁ
010618 V- -PAPNSM- βλέπων βλέπων βλέπων βλέπω
010618 P- -------- ἐν ἐν ἐν ἐν
010618 RA ----DSN- τῷ τῷ τῷ ὁ
010618 A- ----DSN- κρυφαίῳ κρυφαίῳ κρυφαίῳ κρυφαῖος
010618 V- 3FAI-S-- ἀποδώσει ἀποδώσει ἀποδώσει ἀποδίδωμι
010618 RP ----DS-- σοι. σοι σοι σύ
010619 D- -------- Μὴ Μὴ μή μή
010619 V- 2PAD-P-- θησαυρίζετε θησαυρίζετε θησαυρίζετε θησαυρίζω
010619 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ
010619 N- ----APM- θησαυροὺς θησαυροὺς θησαυρούς θησαυρός
010619 P- -------- ἐπὶ ἐπὶ ἐπί ἐπί
010619 RA ----GSF- τῆς τῆς τῆς ὁ
010619 N- ----GSF- γῆς, γῆς γῆς γῆ
010619 D- -------- ὅπου ὅπου ὅπου ὅπου
010619 N- ----NSM- σὴς σὴς σής σής
010619 C- -------- καὶ καὶ καί καί
010619 N- ----NSF- βρῶσις βρῶσις βρῶσις βρῶσις
010619 V- 3PAI-S-- ἀφανίζει, ἀφανίζει ἀφανίζει ἀφανίζω
010619 C- -------- καὶ καὶ καί καί
010619 D- -------- ὅπου ὅπου ὅπου ὅπου
010619 N- ----NPM- κλέπται κλέπται κλέπται κλέπτης
010619 V- 3PAI-P-- διορύσσουσιν διορύσσουσιν διορύσσουσι(ν) διορύσσω
010619 C- -------- καὶ καὶ καί καί
010619 V- 3PAI-P-- κλέπτουσιν· κλέπτουσιν κλέπτουσι(ν) κλέπτω
010620 V- 2PAD-P-- θησαυρίζετε θησαυρίζετε θησαυρίζετε θησαυρίζω
010620 C- -------- δὲ δὲ δέ δέ
010620 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ
010620 N- ----APM- θησαυροὺς θησαυροὺς θησαυρούς θησαυρός
010620 P- -------- ἐν ἐν ἐν ἐν
010620 N- ----DSM- οὐρανῷ, οὐρανῷ οὐρανῷ οὐρανός
010620 D- -------- ὅπου ὅπου ὅπου ὅπου
010620 C- -------- οὔτε οὔτε οὔτε οὔτε
010620 N- ----NSM- σὴς σὴς σής σής
010620 C- -------- οὔτε οὔτε οὔτε οὔτε
010620 N- ----NSF- βρῶσις βρῶσις βρῶσις βρῶσις
010620 V- 3PAI-S-- ἀφανίζει, ἀφανίζει ἀφανίζει ἀφανίζω
010620 C- -------- καὶ καὶ καί καί
010620 D- -------- ὅπου ὅπου ὅπου ὅπου
010620 N- ----NPM- κλέπται κλέπται κλέπται κλέπτης
010620 D- -------- οὐ οὐ οὐ οὐ
010620 V- 3PAI-P-- διορύσσουσιν διορύσσουσιν διορύσσουσι(ν) διορύσσω
010620 C- -------- οὐδὲ οὐδὲ οὐδέ οὐδέ
010620 V- 3PAI-P-- κλέπτουσιν· κλέπτουσιν κλέπτουσι(ν) κλέπτω
010621 C- -------- ὅπου ὅπου ὅπου ὅπου
010621 C- -------- γάρ γάρ γάρ γάρ
010621 V- 3PAI-S-- ἐστιν ἐστιν ἐστί(ν) εἰμί
010621 RA ----NSM- ὁ ὁ ὁ ὁ
010621 N- ----NSM- θησαυρός θησαυρός θησαυρός θησαυρός
010621 RP ----GS-- σου, σου σου σύ
010621 D- -------- ἐκεῖ ἐκεῖ ἐκεῖ ἐκεῖ
010621 V- 3FMI-S-- ἔσται ἔσται ἔσται εἰμί
010621 D- -------- καὶ καὶ καί καί
010621 RA ----NSF- ἡ ἡ ἡ ὁ
010621 N- ----NSF- καρδία καρδία καρδία καρδία
010621 RP ----GS-- σου. σου σου σύ
010622 RA ----NSM- Ὁ Ὁ ὁ ὁ
010622 N- ----NSM- λύχνος λύχνος λύχνος λύχνος
010622 RA ----GSN- τοῦ τοῦ τοῦ ὁ
010622 N- ----GSN- σώματός σώματός σώματος σῶμα
010622 V- 3PAI-S-- ἐστιν ἐστιν ἐστί(ν) εἰμί
010622 RA ----NSM- ὁ ὁ ὁ ὁ
010622 N- ----NSM- ὀφθαλμός. ὀφθαλμός ὀφθαλμός ὀφθαλμός
010622 C- -------- ἐὰν ἐὰν ἐάν ἐάν
010622 C- -------- οὖν οὖν οὖν οὖν
010622 V- 3PAS-S-- ᾖ ᾖ ᾖ εἰμί
010622 RA ----NSM- ὁ ὁ ὁ ὁ
010622 N- ----NSM- ὀφθαλμός ὀφθαλμός ὀφθαλμός ὀφθαλμός
010622 RP ----GS-- σου σου σου σύ
010622 A- ----NSM- ἁπλοῦς, ἁπλοῦς ἁπλοῦς ἁπλοῦς
010622 A- ----NSN- ὅλον ὅλον ὅλον ὅλος
010622 RA ----NSN- τὸ τὸ τό ὁ
010622 N- ----NSN- σῶμά σῶμά σῶμα σῶμα
010622 RP ----GS-- σου σου σου σύ
010622 A- ----NSN- φωτεινὸν φωτεινὸν φωτεινόν φωτεινός
010622 V- 3FMI-S-- ἔσται· ἔσται ἔσται εἰμί
010623 C- -------- ἐὰν ἐὰν ἐάν ἐάν
010623 C- -------- δὲ δὲ δέ δέ
010623 RA ----NSM- ὁ ὁ ὁ ὁ
